sigma,rho,beta,x0,y0,z0,lyapunov_exponent,fractal_dimension
5.0,20.0,2.6666666666666665,1e-05,1e-05,1e-05,,0.1845534980275232
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.1512813850102153
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.15889021509881168
5.0,28.0,2.6666666666666665,1e-05,1e-05,1e-05,,0.16661027577441445
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,,0.1717265441445458
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,,1.6795405466524131
5.0,35.0,2.6666666666666665,1e-05,1e-05,1e-05,,1.5705061547635413
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.5699651305722369
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,,1.5599750672344033
10.0,20.0,2.6666666666666665,1e-05,1e-05,1e-05,,0.1884271526954763
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.1694737845561691
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.21224891426395376
10.0,28.0,2.6666666666666665,1e-05,1e-05,1e-05,,1.71955581712885
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,,1.529770972827204
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,,1.6846169048328596
10.0,35.0,2.6666666666666665,1e-05,1e-05,1e-05,,1.6999653034443198
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.761780978028506
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,,1.749616313347636
20.0,20.0,2.6666666666666665,1e-05,1e-05,1e-05,,0.20036483129748014
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,,0.20269366462256208
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,,0.18584056504223107
20.0,28.0,2.6666666666666665,1e-05,1e-05,1e-05,,0.1866841599888855
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,,0.1898522130832824
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,,0.20264711255772422
20.0,35.0,2.6666666666666665,1e-05,1e-05,1e-05,,1.5681862208656416
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,,1.63048003879797
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,,1.608615358110335
